,salary,g,gs,inn_outs,po,a,e,dp,pb,wp,sb,cs,zr
salary,1.0,0.43175136824026483,0.08402241445033877,0.36130760602855705,0.31934587482176097,0.2459058009263655,0.2984005404557218,0.2809974556074009,0.04593522915616395,-0.0013868606734570063,0.054538734944602756,0.044864274534381764,-5.7643445627190304e-05
g,0.43175136824026483,1.0,0.7926729771790086,0.9520726511688344,0.7358495883003732,0.417183371693472,0.7508385724444953,0.43674237012353917,0.1276870499267646,0.12786241896297096,0.13471758548482907,0.13970620132733236,0.11074503324492906
gs,0.08402241445033877,0.7926729771790086,1.0,0.8878267336564515,0.670502917923746,0.36952934631358014,0.7293602720894093,0.3731216019067867,0.12457002419180069,0.18310316176861124,0.13323403540904802,0.14819142191226983,0.15588127754904527
inn_outs,0.36130760602855705,0.9520726511688344,0.8878267336564515,1.0,0.7940890287460524,0.5127616429787054,0.8349008599956226,0.5300623486633446,0.17301553597561686,0.1634475149164006,0.18116944781105945,0.18514381817689549,0.14102251134762486
po,0.31934587482176097,0.7358495883003732,0.670502917923746,0.7940890287460524,1.0,0.3095938723934142,0.6215650086227895,0.615985377902951,0.3999185366627889,0.32873912855634474,0.4156301992737621,0.41027645983990607,0.27104795201016024
a,0.2459058009263655,0.417183371693472,0.36952934631358014,0.5127616429787054,0.3095938723934142,1.0,0.7971379614509856,0.8171642063852752,0.027816446717342676,0.032782974960208565,0.031030134923654654,0.034865211847545485,0.0355732745571198
e,0.2984005404557218,0.7508385724444953,0.7293602720894093,0.8349008599956226,0.6215650086227895,0.7971379614509856,1.0,0.7003426916266265,0.15632088003659023,0.1536406298037711,0.16047356701368645,0.1630090996035237,0.1318806440466575
dp,0.2809974556074009,0.43674237012353917,0.3731216019067867,0.5300623486633446,0.615985377902951,0.8171642063852752,0.7003426916266265,1.0,-0.0060437590531200154,0.001605399296596677,-0.005212284765368864,-0.0037430585011626475,0.005896788589336505
pb,0.04593522915616395,0.1276870499267646,0.12457002419180069,0.17301553597561686,0.3999185366627889,0.027816446717342676,0.15632088003659023,-0.0060437590531200154,1.0,0.8216810035557233,0.9399428949792724,0.9345812260166658,0.6436834100778156
wp,-0.0013868606734570063,0.12786241896297096,0.18310316176861124,0.1634475149164006,0.32873912855634474,0.032782974960208565,0.1536406298037711,0.001605399296596677,0.8216810035557233,1.0,0.8362102643117806,0.8884246407702054,0.7940110983057976
sb,0.054538734944602756,0.13471758548482907,0.13323403540904802,0.18116944781105945,0.4156301992737621,0.031030134923654654,0.16047356701368645,-0.005212284765368864,0.9399428949792724,0.8362102643117806,1.0,0.9688399721858253,0.6433138786879214
cs,0.044864274534381764,0.13970620132733236,0.14819142191226983,0.18514381817689549,0.41027645983990607,0.034865211847545485,0.1630090996035237,-0.0037430585011626475,0.9345812260166658,0.8884246407702054,0.9688399721858253,1.0,0.7556089833485357
zr,-5.7643445627190304e-05,0.11074503324492906,0.15588127754904527,0.14102251134762486,0.27104795201016024,0.0355732745571198,0.1318806440466575,0.005896788589336505,0.6436834100778156,0.7940110983057976,0.6433138786879214,0.7556089833485357,1.0
